Date,Acres_Burned,Containment,PM10,PM25
2017-12-27T00:00:00Z,281893,91,40,57
2017-12-28T00:00:00Z,281893,91,39,45
2017-12-29T00:00:00Z,281893,92,38,37
2017-12-30T00:00:00Z,281893,92,20,45
2017-12-31T00:00:00Z,281893,92,22,58
2018-01-01T00:00:00Z,281893,92,22,53
2018-01-02T00:00:00Z,281893,92,33,48
2018-01-03T00:00:00Z,281893,92,43,43
2018-01-04T00:00:00Z,281893,92,27,45
2018-01-05T00:00:00Z,281893,92,10,23
2018-01-06T00:00:00Z,281893,92,13,28
2018-01-07T00:00:00Z,281893,92,19,51
2018-01-08T00:00:00Z,281893,92,14,27
2018-01-09T00:00:00Z,281893,92,7,13
2018-01-10T00:00:00Z,281893,92,26,23
2018-01-11T00:00:00Z,281893,92,32,53
2018-01-12T00:00:00Z,281893,100,50,50
2017-12-24T00:00:00Z,281620,86,26,39
2017-12-25T00:00:00Z,281620,86,27,53
2017-12-26T00:00:00Z,281620,88,36,56
2017-12-22T00:00:00Z,273400,65,31,38
2017-12-23T00:00:00Z,273400,70,25,25
2017-12-21T00:00:00Z,272600,65,38,36
2017-12-19T00:00:00Z,272000,55,52,61
2017-12-20T00:00:00Z,272000,60,32,57
2017-12-18T00:00:00Z,271000,50,61,66
2017-12-17T00:00:00Z,270000,45,97,114
2017-12-16T00:00:00Z,267500,40,125,160
2017-12-15T00:00:00Z,256000,35,82,148
2017-12-14T00:00:00Z,249500,35,96,155
2017-12-13T00:00:00Z,238500,30,100,164
2017-12-11T00:00:00Z,231700,20,141,169
2017-12-10T00:00:00Z,230000,10,107,172
2017-12-09T00:00:00Z,155000,15,109,172
2017-12-08T00:00:00Z,143000,10,95,177
2017-12-07T00:00:00Z,115000,5,0,281
2017-12-06T00:00:00Z,90000,5,93,194
2017-12-05T00:00:00Z,50000,0,68,149
2017-12-12T00:00:00Z,23600,25,117,169
